,Country,Salary,Currency,Salary[USD]
52,Cote Divoire,775979.0,XOF,1296.0
100,Indonesia,18393713.0,IDR,1296.0
241,Zambia,11512027.0,ZMK,1278.0
116,Laos,11221906.0,LAK,1270.0
239,Western Sahara,12255.0,MAD,1263.0
27,Botswana,13872.0,BWP,1252.0
105,Jamaica,166414.0,JMD,1236.0
85,Grenada,3340.0,XCD,1235.0
183,Saint Lucia,3333.0,XCD,1233.0
207,Swaziland,18529.0,SZL,1214.0
59,Dominica,3256.0,XCD,1204.0
224,Uganda,4400178.0,UGX,1191.0
144,Montserrat,3207.0,XCD,1186.0
0,Afghanistan,91969.0,AFN,1175.0
36,Cameroon,699967.0,XAF,1172.0
90,Guinea,10738370.0,GNF,1162.0
205,Suriname,8629.0,SRD,1157.0
78,Gambia,58380.0,GMD,1154.0
179,Rwanda,1062490.0,RWF,1151.0
170,Philippines,59243.0,PHP,1142.0
225,Ukraine,27687.0,UAH,1120.0
189,Sao Tome and Principe,24138122.0,STD,1119.0
126,Macedonia,61729.0,MKD,1101.0
81,Ghana,5988.0,GHS,1098.0
125,Macao,8809.0,MOP,1090.0
156,Niger,649228.0,XOF,1084.0
215,Togo,622794.0,XOF,1040.0
128,Malawi,757411.0,MWK,1036.0
88,Guatemala,8038.0,GTQ,1034.0
127,Madagascar,3783186.0,MGA,1033.0
181,Saint Helena,1331.0,SHP,1007.0
2,Albania,110594.0,ALL,989.0
54,Cuba,25918.0,CUP,978.0
92,Guyana,201731.0,GYD,966.0
41,Chad,575601.0,XAF,964.0
232,Vanautu,114076.0,VUV,964.0
204,Sudan,43099.0,SDG,955.0
33,Burkina Faso,570959.0,XOF,953.0
153,New Caledonia,103567.0,XPF,949.0
35,Cambodia,3814133.0,KHR,933.0
235,Vietnam,20342041.0,VND,877.0
48,Congo,515256.0,XAF,863.0
142,Mongolia,2304726.0,MNT,863.0
40,Central African Republic,511130.0,XAF,856.0
131,Mali,506488.0,XOF,846.0
210,Syria,433700.0,SYP,842.0
93,Haiti,80770.0,HTG,840.0
22,Benin,501846.0,XOF,838.0
120,Liberia,175285.0,LRD,829.0
119,Lesotho,12507.0,LSL,819.0
95,Honduras,20231.0,HNL,817.0
6,Angola,308496.0,AOA,809.0
231,Uzbekistan,7597319.0,UZS,806.0
63,Egypt,13075.0,EGP,800.0
17,Bangladesh,67401.0,BDT,797.0
30,British Indian Ocean Territory,3162.0,USD,773.0
155,Nicaragua,25943.0,NIO,771.0
240,Yemen,191674.0,YER,765.0
34,Burundi,1397097.0,BIF,751.0
203,Sri Lanka,135313.0,LKR,750.0
238,Wallis and Futuna,80340.0,XPF,736.0
7,Anguilla,1976.0,XCD,731.0
163,Pakistan,111136.0,PKR,709.0
194,Sierra Leone,6737270.0,SLL,709.0
230,Uruguay,25299.0,UYU,681.0
91,Guinea-Bissau,403076.0,XOF,673.0
213,Tanzania,1491612.0,TZS,648.0
24,Bhutan,44002.0,BTN,618.0
199,Somalia,306240.0,SOS,528.0
222,Turks and Caicos Islands,1756.0,USD,501.0
60,Dominican Republic,23465.0,DOP,446.0
150,Nepal,49047.0,NPR,430.0
147,Myanmar,643425.0,MMK,423.0
112,Korea (North),372516.0,KPW,413.0
9,Argentina,22281.0,ARS,386.0
68,Ethiopia,10511.0,ETB,354.0
99,India,19599.0,INR,275.0
64,El Salvador,1963.0,USD,120.0
139,Micronesia,1659.0,USD,84.0
61,East Timor,2610.0,USD,49.0
62,Ecuador,2612.0,USD,49.0
242,Zimbabwe,256081.0,ZWD,28.0
4,American Samoa,1847.0,USD,15.0
164,Palau,2094.0,USD,13.0
165,Palestine,1965.0,USD,12.0
236,Virgin Islands (British),2164.0,USD,0.0
237,Virgin Islands (US),3185.0,USD,0.0
28,,,,
